Date,Open,High,Low,Close,Volume,Adj Close
2021-04-13,83000.0,84500.0,82800.0,84000.0,15238206,84000.0
2021-04-14,84000.0,84300.0,83400.0,84000.0,13794652,84000.0
2021-04-15,83700.0,84500.0,83400.0,84100.0,16377412,84100.0
2021-04-16,84700.0,84700.0,83600.0,83900.0,15429522,83900.0
2021-04-19,83800.0,84000.0,83300.0,83300.0,15287311,83300.0
2021-04-20,83300.0,84000.0,83100.0,83900.0,15521965,83900.0
2021-04-21,83300.0,83500.0,82500.0,82600.0,21636079,82600.0
2021-04-22,82900.0,83000.0,82400.0,82400.0,13934746,82400.0
2021-04-23,81900.0,82900.0,81600.0,82800.0,17805080,82800.0
2021-04-26,82900.0,83500.0,82600.0,83500.0,15489938,83500.0
2021-04-27,83200.0,83300.0,82500.0,82900.0,12941533,82900.0
2021-04-28,83200.0,83200.0,82100.0,82100.0,15596759,82100.0
2021-04-29,82400.0,82500.0,81500.0,81700.0,20000973,81700.0
2021-04-30,81900.0,82100.0,81500.0,81500.0,18673197,81500.0
2021-05-03,81000.0,82400.0,81000.0,81700.0,15710336,81700.0
2021-05-04,81900.0,82600.0,81800.0,82600.0,12532550,82600.0
2021-05-06,81700.0,82300.0,81700.0,82300.0,17047511,82300.0
2021-05-07,81800.0,82100.0,81500.0,81900.0,14154882,81900.0
2021-05-10,82300.0,83500.0,81800.0,83200.0,19385027,83200.0
2021-05-11,82500.0,82600.0,81100.0,81200.0,28996680,81200.0
2021-05-12,80800.0,81200.0,79800.0,80000.0,35812268,80000.0
2021-05-13,78900.0,79600.0,78400.0,78500.0,31490096,78500.0
2021-05-14,79000.0,80300.0,78900.0,80100.0,16450920,80100.0
2021-05-17,80800.0,80900.0,79200.0,79600.0,17740855,79600.0
2021-05-18,79600.0,80000.0,79100.0,79600.0,17494407,79600.0
2021-05-20,79400.0,79700.0,79100.0,79500.0,16541828,79500.0
2021-05-21,80100.0,81500.0,79800.0,80100.0,20961714,80100.0
2021-05-24,80100.0,80400.0,79500.0,79700.0,13398666,79700.0
2021-05-25,80000.0,80400.0,79800.0,79900.0,13628942,79900.0
2021-05-26,80400.0,80500.0,79700.0,79800.0,11984359,79800.0
2021-05-27,80000.0,80000.0,79100.0,79600.0,23198510,79600.0
2021-05-28,79800.0,80400.0,79400.0,80100.0,12360199,80100.0
2021-05-31,80300.0,80600.0,79600.0,80500.0,13321324,80500.0
2021-06-01,80500.0,81300.0,80100.0,80600.0,14058401,80600.0
